47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('7kfr30RmiJVddHARczyJYg', 'Bayrischer Hof New German Restaurant')
('W3cR01oSjxDzaTFlkZsoGw', 'Blue Fire BBQ')
('ikR7b7j-Dw8VOEztNT4oLw', 'Subway')
('gicsdXlaxZGHQibpb739gg', 'Bensonhurst Pizza')
('dTCUmPi5op-1CvcTk17yRQ', 'Saint-Laurent Café')
('kCxt-d_OJVlWRfwwH4WsHA', 'Kikuhana Japanese Restaurant')
('SzcCJJmreMlWCsNjupdVAA', "L'Albatros")
('VvZnozdEpjw0e7Dg-kKIxg', 'Shaan Tandoori')
('8tegzW_8ECpE2RJ0UBtKoQ', 'Los Patos 2')
('OZhRvcJ8WjnvRaRQVirD6w', 'China Star')
('lbNrAWLlxOKw1lS_DKvziQ', 'La Khaïma')
('XnNKFv5xqdPd9K1aAW-uUQ', 'Hancook Cheese Dakgalbi')
('s8WxG2RthXYzKh0nsjzlpQ', 'Choko-Mocko')
('DFHQK3sI846ztJVkDGLOjw', "Genaro's Rotisserie")
('HpT0pKeu-HeBtjxkrqxv8w', 'Dostana Indian Cuisine')
('5FDU47Ha0VUKC48_A8ESeA', "Moga's Pizza")
('-QC71Wuh0TyJI0RAZ3d0Iw', 'Chipotle Mexican Grill')
('You1TBLV0vNLzYddTR_9Ew', "Julioberto's")
('kx9PsQuEXIuIpS_uoKlYHw', 'Alchemy Restaurant')
('cOAjHOGcmXWJEd1Xo3xt0w', 'XO Seafood & Oysters')
('MskgyqzTW_PRgQbN-xnwlg', 'Popeyes Louisiana Kitchen')
('BS2nj4dQKvC5oi6ikKvX0A', 'Korean BBQ')
('ZKwRLcEfAC8d8wF3t4PsDw', 'Pizza Nova')
('Amx-KvDm_9nemssJM_X_Fg', 'Elements Bar & Bistro')
('riHlPwsqP6eZka_Tig9SuQ', 'Tropicalyyc')
('PTPd2xamYtUCH00NqML-YA', 'Happy Time Seafood Restaurant')
('_HePiPCk9tmgezshWwZGOw', 'Regal Garden')
('WFM2FE0THduTbnjgGdGDLQ', 'Pizza Hut')
('YrFYBMWnRWkRpy9XyMfMRw', "Winghart's Burger & Whiskey Bar")
('wQoAm1mFpDWZyY4WU_DnyA', 'Nasha Lounge and Bar')
('oxeW1tSB-e_oIzCQZtqyTw', 'Noodlecat')
('hLThl4NxoJmHadtb6vLNsw', 'Pangaea Restaurant')
('lDkKSL4AT2faZwClvCvLnw', 'Golden Diner Family Restaurant')
('lZsfVRXEhqxAMq3dsu4akw', 'Asian Specialty')
('oTfNiJOfNVxLvrACzlahQg', 'Honey Bear')
('zbFtY82_ummK4amkT-M04Q', "Jacky's Seafood Restaurant")
('6cvNr13BFVqbVTUG6IJDwA', 'Coco Frutti')
('dj7DPWQRYhUxApqc4jCv7w', 'Suns Beef Jerky Pecos')
('9wUIxdYz-CCpGRLu9BxJdg', 'South Philly Steak & Fries')
('7xt24dNXMG2uqYpp6j6J-Q', 'Fire Grill')
('ybq76JnmovyueBmrxef-aQ', 'Augustus Cafe')
('wJgLNCFtLESBavqa6m9ZIw', 'Heights Soulfood & Grille')
('eeZGrFHVCrVIMwPWsEBg4Q', 'Seoul Jung')
('8qAtou9A4ksXGkjyLibWDg', 'D. Vino')
('BQxiNB-08PBNZR2vk0fMdg', "Harvey's Restaurants")
('eBxQzBFLEPwRCxuiL50SQA', "Todd's Unique Dining")
('UkocLwA8OtjQl79vES-aRQ', 'Pizza Depot')
('6hw5xnu6X1goLMLflgOKkA', 'Rounders Anthem')
('panTWmCXuufjRNBerlvONw', 'Taka Sushi House')
('XoQGw-1a7oEZeKs3RC8CSw', 'Restaurant Su')
('EplC6akh7iPskbUXAKEFoA', "Smitty's Canada")
('L8RL98g2U9SNQAG8zo-AeQ', 'Rouge')
('kusoRTY5CtjCQAlH-XEzQw', 'Resto Biarritz')
('w-8iOyPNQKW2x3m-HJy2Yw', 'Saigon Palace Restaurant')
('X4rqmQMJcpY4EajFAFTSlw', 'Pizza Del Arte')
('HwEDsb1xtRBTuFwATTRjpA', 'The Cheesecake Factory')
('6t0tTpeOgLb6-5AcEFquwg', 'Orotoro')
('Tiag-cl7u4oL5EsF1mwY1A', 'Mr Sub')
('Cfry9-vvuseDsbF3Q2H8ew', 'Rivas Mexican Grill')
('HfvnvPWbhMqtVVRlG1s41w', 'Tim Hortons')
('xonhqpNeYGuV-bU4WRMlLA', "Anthony's Restaurant")
('pDxUiUoivPVFJumk5syp2g', 'Pizzano Pizza & Chicken')
('MFXhVmojOEP9Iet-O1_2NQ', 'Little Caesars Pizza')
('owV0aSgh4t_9aG56iPxGEw', 'Panda Express')
('MJoHqF2VIKhBuMzpRnwrZA', 'Peter Piper Pizza')
('mCNzKFTukMYHkZVRMXIIyw', 'Sushi On Bloor')
('3qTSOuJ-ZyU1L7o62KHSIg', "Gio Rana's Really Really Nice Restaurant")
('DYNeABXl0-ZviedEXX-gUw', 'Make It Yourself Pizza')
('OyhCNhJJuJjUt2avxI5POg', 'Chocolate Bar')
('C6vH0qzmcerMkiJy3VO9qA', 'Estiatorio VOLOS')
('FQM4pVt1jeZcBGLIsXhXNA', "Fratello's")
('6P7_lOtMrZaNYy-LbsZDhg', 'Landry & Filles')
('JQ0xVMfoBe9OOeGQLQlbDA', "Papa John's Pizza")
('6u-x45q0ETB7SQTAAuKSHw', 'Astoria Shish Kebob House')
('gZ4VtOCDgK5jkPoE79RVEg', "L'Atelier d'Argentine")
('5UkvIlQLgEkHg9fCI1yUmw', 'Cocina Latina')
('bpvsFOOZ2G-JD4kbuAaOhA', 'The Boat House')
('FqEtpS6vzKna9qbjg_vRZw', 'El Taco Tote')
('AwBCgvegeFogpb3lpmpCuw', "Joey's Pizza")
('cNYyAiRUYarFw5wYjjC49Q', 'Thai Express')
('3RG7PX4aqBoir3C2E_r2EQ', 'Edo Japan')
('F-256nqXyfo91fev3ZES1A', 'Auslers Grill')
('LA9KIu-g3VaoFQsYHL2yRA', 'The Teriyaki Company')
('gwM0ykDKKpKgKzwtU5djqg', "Wendy's")
('u73j2VQ3TGWdMO-AG7MABw', "Lo-Lo's Chicken & Waffles")
('GD42Z3Xz7rGHZ9nLFOKO-w', 'Noce Gourmet Pizzeria')
('UCJrY7uZwtaJIcQ10oLzKg', 'Zestos Pizza')
('gIIEgpdUPm1IMs-yKl-91A', 'K&W Cafeteria')
('sd7Ci7gTC6Ia1cAIPcmDGw', "McDonald's")
('ZCvJ5xlxj2c-QzPLBOjtjw', 'Chat Burrito')
('tk7__jHNlFMsfShjv5CJNQ', 'Prince Restaurant')
('IEqq2MDcOECKgdDO8oeL0g', 'Cafe Bistro Serafim')
('uOWWk2duBzNao8fiQFWkJQ', 'Wild East')
('tNJBD6CleWS821Y024GTqw', 'The Greek Point')
('zrnP9HqoF-RI9jqoW8pytA', 'Mlle Catherine')
('EG3drsohiIrBewmOYMNEuA', 'Café République')
('m2WXjeA959-YC1MzzA0APg', 'Freshwest Grill')
('PtqUj4GX_7kGGBib6J5SNA', 'Chin Chine')
('bk4FIHt8ODRBPfqL4Fd2aQ', 'Indulge Burgers & More')
('G6vCAStneBwBlQDE02dHdQ', 'Starbucks')
('1u4EvujoBP37oEL4SGLpgA', 'Civilization')
('IoXcQkLpEaiv6S7ITelLWg', 'Ushabu')
('Bk7MkkqXlEpeQvpjTCx0Yg', 'Gamblers Cafe')
('MZNrlYIMt2FwcdEH33_EHw', 'Golden Lotus Chinese Cuisine')
('BOSRH5BwLs97xgtfgu4Plg', 'La Canasta')
('zJR84qoQEvIRGrR6a7VyZg', 'Golden Valley')
('Nbhpg1TbDwtMuyh9ZIPceA', 'Thai Thai Kitchen')
('V3erF_OvXVcp1HgQiRLQ1g', 'Pizza Hut')
('0jaD7X39dXE8DxJYIaxSDg', 'Tropical Smoothie Cafe')
('K3NW8TEu4QRQvFvHer8v4A', "Joso's")
('D3pqjTcK1b2RDnlEC-l5PQ', "Cafe Bistro L'amandier")
('k89T_99fj_x-rhYZ4z81mA', 'Mio Stone Grill & Sushi')
('9WdA_roRy2IE45zdZ98baA', 'Han Chao, Taste of Asia')
('U_jPOTd-Z5KATbTYnDeNxg', 'Burrito Bandidos')
('flFIc2rbWQ9h0HW6-djpFw', 'Victory Cafe')
('rGZtr_ZfOVfmj9aTLV11Rw', "Harvey's")
('A8HBZype4Zjvm6A_DoHL_w', 'Tim Hortons')
('9WAnQD1nj1j3zLZ7ONtvfQ', 'Little Buddha Restaurant & Sushi Bar')
('lhxG1Jlp4nMpLMoix31OYg', 'Kaizen Fusion Roll & Sushi')
('FjAfmg6QzXRGEFx8yJ8q7w', 'Sunset Grill')
('eUV-Sj1HyD4PkJRhmhVlkQ', "Hammond's Restaurant")
('xfzDtGxx6B4a27RAyah69w', 'Sushi 21')
('Cly7wJhbXIDID_quND01_w', 'Flower Child')
('4GjBeipeu2cXxQzzUxS4Iw', "Wendy's")
('8VjuH2GhJXauUigEEX9Q7Q', 'La Nopalera')
('drrTCw8cVmda9BZ5HjEiOQ', 'Gourmet Paradise Sichuan Style')
('be6YqSXj-J3xEs6eM7MeoQ', 'Tutti Frutti')
('IFSpBHfexPosFGzsA9rTTQ', "Domino's")
('x3XmzWJUMEPLAvugNqIYQA', "Paul & Sandy's Real Barbecue Co")
('zABeftlpBB-aoMdc8QhPLA', 'TGI Fridays')
('Ef5P6C2yHAv08FPif5Rdtg', '8oz Korean Steak House')
('iWq6qeOnOS6CPmeDP9vyFQ', 'B Spot At the Q')
('nV_QohN5iOTnLRbLsBEGHQ', 'Restaurant Zyng')
('e_wiw1wi4MKm2Wnk08xiGw', "McDonald's")
('zu7DiVAX0wO4f8rGPU8URg', 'Grapes')
('PnoXdSKC84sZcB1JvI6HAw', 'Java U')
('BfIcrMq0Me0D7BBSYij7Fg', "Difiore's Ice Cream Delite")
('WCjznesyAn8o2z8gHghlzg', 'Stouffville Fish & Chips')
('StWSgLnWkuSocMbMcwEQkw', "Chef Jenny G's Fish & Chips")
('nZ4uuPHq0QLM5DwI52aO3Q', 'Burger King')
('r7p-8e89IVunsNElJRjFBQ', 'My Greek Corner')
('EwldVuxL-KJaIxxi2FApNw', "Arby's")
('8JNXHzuV9FKr4iTDQDc01g', "McDonald's")
('rkF_WvWIHqM1TfYtoPTvNw', 'Sushi Rock')
('Fz4tEznEC4Dr5F4w6jJRKg', 'Li-ao Sushi')
('ZgWjkMSzIV9fAuJJQXSUvA', 'Market Grille Cafe')
('_n5wggIEfBzCUepjgvHXAQ', 'Sushi Ichiban')
('o9nGD3J0btXjE9M6IdgZTA', "McAlister's Deli")
('S_5s_J6Mrii2cAi4ylK30w', 'Yunnan Cross Bridge Rice Noodle')
('cnWo1tPCcTo1qbLh0UHpQA', 'Tijuana Flats')
('hrrPxT846kLGs7ehEtLmRg', 'Salt and Tobacco')
('PWJwBgfe1eNt4A2oCTtHyw', 'Comoncy')
('Re3QMHqin0xiQ9Zhxb4gLQ', 'The Wingery')
('daNKquKlJrBZ8CIG9jxnVA', 'The Azteca')
('UzPO7a0eJzVZ2lrRaijawQ', 'Restaurant Bohemia')
('MxHow1YklEAsmtlq2BRNmQ', 'Country Boys Restaurant')
('bsXdGEeHJPDkyIzAk0XnCg', "GM Dog N' Burger Shoope")
('WJ0dK9O_prt2ud1BXAZYtg', 'Taste of China')
('6tu5q1pgP7sfDpTY9Vq7GQ', 'BarBurrito - Bristol')
('5R0kCSZkk_005LvnIONJbw', 'Crêpe & Co.')
('4NPEbGdNKO2l7PFoHiGWmw', 'Husky House Restaurant')
('TCDHzr3tEnXs2TKNcq1hDg', 'Bubblelicious')
('5OZS7Sz7oX6XBL7KZE0G1Q', 'Jasmine Thai Cuisine')
('ORyR5StmKX5HjvFEV1oBXQ', 'Red Lobster')
('0gbi6kYiAOnFwfZ_2_dXSA', 'Hyde Park Prime Steakhouse')
('CZJ-s3Io3TQ0Jr2r_tm51g', 'Popeyes Louisiana Kitchen')
('5YyLWps6xL372Lj2hRlPQw', 'Quaker Steak & Lube')
('KRgTdfs4oVFUcATMfAoR4A', 'Vertige')
('XlZ2Row0pszDilc5WmXiZQ', 'Tendou Matcha & Dessert')
('gY5vlvTMshiqhGi0rkPc0Q', 'Subway')
('zcScEL0WEdFkROcnz5379g', 'The Boiling Crab')
('v-scZMU6jhnmV955RSzGJw', 'No. 1 Sushi Sushi')
('o6Yor6ofIw2TqM3mN28Kzg', 'Tacos El Asador')
('odfX0wO7fOyqa8oobxh96w', 'Fu Lai Chinese Restaurant')
('Id4FhgQyoU5H7tb_qipP0w', "Bob's Sub")
('VXnjTDoerAhO6r4bxwASiA', 'Solymar')
('YCCAurWSCB3mDYSvHUyo_Q', 'Pho 99 Chabanel')
('1zoFPW-TDZsWdYZ_ccO7Rg', 'Golden Maki Japanese Restaurant')
('XHLosZpY3N827hAYmtoj2A', 'The Keg Steakhouse & Bar')
('L8psDqzHfAb3TblNY2LpDw', 'Auberge du Dominicain')
('s5fGo1Nieiy6M-fhk_Ywnw', 'Gourmet Wok Hawaiian BBQ')
('xQIuQz-6i28ekYCNKQZvig', 'Panda Express')
('OatOHmJMq8b44cdz6L2N9A', 'Darbar')
('oC_TtWhvsUryC8Z6AiUUcg', 'The Corner Deli')
('Fy_FojwGrizFhLWoTPxFuQ', "Michael's Diner")
('HxHpu1ZZFVxnWmRbmc1kPw', 'Restaurant du Jardin Botanique de Montréal')
('Xc9g9DgNti4UnBNYvIPFZA', "Le's Pho")
('-4TMQnQJW1yd6NqGRDvAeA', 'The House Brasserie')
('oZVPeINaOS1d-KMk6HVXIg', 'Urban St. Donair')
('aPGT5YMtgXxU5fE3XO24ZA', 'Restaurant Au Coin De La Baie')
('oHI9n_ocZyzuQgXlr2GUAQ', 'Pizza Papa Gerald')
('h_RvuNomIG_DB5JyAyEsdw', 'Chinese Northern Flavour Restaurant')
('I4CeZvDdyMHjdVYKDBjCpg', "Domino's Pizza")
('KBSUpQVY_hSudz7796wIJQ', 'Master Pizza')
('Hw-yFY8Fz8HOvY6I5l7Ljg', 'Yoasis Ahwatukee')
('eLjPGXKDUNb3XYRe9_7SIA', 'Baguette Cali')
('3lbsd4fUqAG3knPeCi4p2w', "Maddie's Place")
('FPAOrUsP7GuIyqmK9UoPUQ', 'Teriyaki Madness')
('5PHtPAdqTdaOPSK4ll1k5g', 'The One Sushi')
('eIO1Gj0MX29aQXTIEdCpqA', 'Jiu Xiang Yuan')
('BmFStvt6hs77XmYR7zmHtQ', 'Touch')
('aGZPBbF5JqwbCu4aYXbHYQ', 'Restaurante Y Pupuseria Los 3 Hermanos')
('Rv1IiQaIIDunqzS8dSvHCw', 'Plumeria Thai Cafe')
('cbVaCo7DdU4ClI3ujqnMyw', 'Pompom Rouge')
('l2J-R5MjzFTgj06dkSoyQg', 'Meow Cat Cafe')
('X7BA_EijhAWYCNuMiyNgHw', 'Kanlaya Thai Kitchen')
('24fW-8hK0hs5KvEYWwWNDw', 'Casa de Lara')
('2koGK8csbE3AIFf7r2dMNw', "Domino's Pizza")
('d_Go5TsiFMIRtCE6XS8Sjw', 'The Westerly')
('fSb3blcWdJr2r3W4v210Ng', "Pinoy's Bistro")
('IiYY8e_I7wFt0xo5I-6GDA', 'Restaurant Y Taqueria Acapulco')
('Bw5YK3qWkxFsGsHLbyCSDA', 'QQ Grill')
('4UQtSydgZ0-7peghGCb-eg', 'Legacy Golf Club Restaurant')
('KtQk3PNQnTWCLj3t2b8Heg', 'Sonic Drive-In')
('5bHMcb29LwPSPgfISUZs9w', "Osmow's")
('UoPOED2pSAQjf4Gz4gYtqw', "Carl's Jr")
('mTcPc9rE43XrG05RQOjnWw', 'Zanzibar Soul Fusion')
('vsKNhBxB0ExVi77_6CG1xA', 'Los Jarochos')
('KjxOqxEDK0woF1l1kZ_nSA', "Oak's Diner & Flapjacks")
('nyeIcJRPs8n199nW4OjpSA', 'Super Taco')
('86Ha2bJ6zMvWSv319myoQA', 'Bluephies Downtown Deli')
('Eqd5QGaW7_C-qHNGzs1uUg', 'Brixx Wood Fired Pizza')
('myJ6pgIhN42EQh2sAVXKoQ', 'Toma Burger Addiction')
('Dkx_UjNhbXB-P0oyKqbTPA', 'Clubhouse Sandwich Shop')
('4noRilkKlHiWf_OrqNL3HQ', 'Rio Coffee Brewery')
('awAxthsSo0Y8KBQXJhNxvQ', "Harold's Chicken & Fish")
('f0n_FsBi7gmKH_a95vaDHA', 'City Bistro')
('mys2H61EqcO4AJpnzi61ZA', 'Waterside Cafe')
('AyKOSCyaPb7x8a9gqZ0z2A', 'Subway')
('y1Er-SodAde9QZIcgFf45g', 'Blackod Steak and Fish House')
('NOUYmgX2Hl2BlhqsWCUAyg', 'Black Bear Diner')
('jpOT1ctnCzl-zWXR4Uyu1A', "Johnny Carino's")
('cE7ArG7tPXsLSBbgHGHYZA', 'Gourmet Express')
('cgWyJ_dhkhK0djaR3fLjhg', 'Restaurant Phayathai')
('NVHlTy9TXFJQpUzZKuEeWw', 'Santorino Pizza')
('OMUe6NNOFEe0VdAouIqAuA', "Sofia's Cafe")
('yfXk-WRkDUn0W_dAT1Pn0Q', 'Tokyo Kitchen')
('umXvdus9LbC6oxtLdXelFQ', 'Sweets Raku')
('OaHJvi10dJbMIaQXg5e2Ag', 'Nam Wah Chinese Vietnamese')
('2IU-FaqDxHlU9A3H-MnhOw', 'Masako Plus Sushi')
('z2bijWtmfbfKu4Va_iX6-Q', 'Habiba')
('Wbyim2Ghb_N_G2IEnoF-ZA', 'Souvlaki Hut')
('sohj__6c4zoKbJjnAkG10A', 'Hanoi 3 Seasons')
('ESinwiCgoJNG-tMWxVQhqQ', 'Pallets Food and Bar')
('D3IfloYiVWl-WKnk7msdAA', 'Donatos')
('FQTYjO4Mey7RkHjBq2UpPg', 'Cavallino Wine Bar')
('cHEwqPrYvYGuES-dBwt3Kw', 'Freeport Pizza Kitchen and Bar')
('Nr27Jik84T4BtwsTD0aA3w', 'Sunshine & Tailwinds Cafe')
('1fYWRuJVpCUT7qyy-tUi5g', "Domino's Pizza")
('AY4qBdRtkShnjiPTdlxw_A', 'Big View Diner')
('Gh752sLvWvzl_n-CHWYwyA', "Milano's Pizza")
('N-cHjphzli3QGGiSosfLgg', 'Oxygen Restaurant & Lounge')
('D_Hwxo6zhVHJTtOGJ7pGhw', 'Yaki Kushi Bar')
('JLeX6QHv2X3CqHL631dppg', 'La Cecilia')
('IUffC7UMj76uy-H7C9MnMw', 'Tandur Indian Kitchen')
('o1bTHnU2JK4AM5C3UE7jFA', 'Cha Do Raku')
('uu2v0GUj3D7pXDLiRnmZwA', 'New York Fries')
('3cJf60goPmC29Fak80SbbA', 'Sarku Japan')
('fAWpLiHzwqzFAC0lvgLmpQ', 'Mount Holly Grill')
('hWLqwafZ2tXH0S073lJSGA', 'The Coney Company')
('cUxsG0rgpE18dMyvyw8Gdg', "Moxie's Grill & Bar")
('kqlkaXGlVX9-yaYzNqmcOg', 'Pizza Nova')
('h28ZxheMQdpqHcAw_ge6gw', 'Bacchanal')
('5ubokMNw8qfbX2WtxgJG1Q', 'Magic Wok Cantonese Cuisine')
('GvCblda5MdYBqNFBUlHuyg', "Barb's Country Junction Cafe")
('tg2f6RBsi3memqM-Yb2gUg', 'Ba-Li Laffa')
('lgdde-A-rnzOw9ybmL82pQ', 'Whataburger')
('CGYI4z9g-bHXHCFoZoZmTQ', 'Shagun Sweets and Restaurant')
('SUOdfycAcI766yRsSnz3pg', 'Superette Cafe')
('7RbLWRXvnsKZBH2NZdrUgw', 'Grabbagreen Scottsdale Kierland')
('uM8JeO42ouAP3rdtwCY-OQ', 'Tenders Fresh Food')
('7hq38lF-G_u6-QJ8nBV5tQ', 'Subway')
('g2kNhIwRpOqi07LsPqipHA', 'A&W')
('Cr5CLpmVrmzFyz_RfQ6rmA', 'Scaddabush')
('Y1Nw27hk9C-xofNxO3TIRw', "Marco's Pizza")
('VVLGIq6ksrgGSfi7VBTmpg', 'America Cafe')
('wymUX-o-ytt31yUo_FI4-w', "Silvioni's Restaurant")
('Lrn9Yk5dmLrYJMVvQT_CHw', 'Strada')
('sdk8HzOpf-u1OIjULyUSrA', 'Boccone')
('kkK7Z5n-cFXZISyrsIR4Gw', "Domino's Pizza")
('D1E_6MBFKeU2a7EQ4IwoEQ', 'Little Caesars Pizza')
('aHuGV6FS0j8_1_p9vFeNuA', 'Cinco')
('H5S9GCysrp8RZfCXEKSuHA', 'Las Pupusas')
('6YRlDV4Em4Ms9CXRWoVo6g', 'Treasures of China')
('dWAyhGhxfVvtLj3nPLT1DQ', 'Left Bank Bistro')
('pP36B7aQh39jwBzHBs40ww', "Danny's Fish & Chips")
('SGpCV9O5teB-we8XNNlGHQ', 'Café Olimpico')
('UrLrciFVqdgmMKkgCncx9Q', 'Burger King')
('SmYGe2qXVsP8zXjhwJkNBw', 'New Hot Pot King')
('KIs5vcQLVExjxtEOBNkXdA', 'The Boil Bar')
('wcPedLEWfSJOV0WBkErF1A', 'Wirtshaus am Goldenen Steig')
('Fy5D1YcWiGUl7ZelcOiLdQ', 'Firehouse Subs')
('JyaVTsBrys7l73o9eTI3Ag', 'Hassayampa Dining Center')
('0urfB2tAhT3lzMYPlw5RBA', 'Mr. Hero')
('Hza5nxnDz-MEnCG-Im6-Nw', 'Gloria Espresso Bar & Cafe')
('Jzc4lKBUUNo_DD-9aQJsbQ', "Dave's Cosmic Subs")
('nl_gkvVXtsIlhGE0sP0qFw', 'Crazy Buffet')
('D7ihF-r44rB2aT8k6oGQww', "Allison's Texas BBQ")
('OlhnTiTRAEbG_6nAmwwRCQ', 'Copper Branch')
('ZtEdhtbmBEoZN--g2h2mxA', 'Greenleafs')
('S9GLG1MhT2bQEGkAY1yRQQ', 'Inka Si Senor')
('vfdo1KswHpv1ZRqgABE1Yw', 'Popular Pizza')
('qpitebmIPKBnn2gf0rbVNQ', 'Red Ember Japanese Cuisine')
('fA8fCYTt4RdA3HOhmBVihg', 'FATZ Cafe')
('oeGABTHjS2EEJg9j7WIHoA', 'Santarosa Taco Stop')
('_zV-v1iMDIs4bjVuN_fL5A', 'Saladishes')
('YTB8vgqT3iDlNRjnREmZCA', "Jimmy & Joe's Pizzeria")
('IbDCaYwFi-e-nhEmH-FYPA', 'Kona Grill')
('u54Hx0VmPRzOtwvBShonSA', 'Subway')
('mibbKeg4gbD9O58TCjDWgQ', "Roberto's Taco Shop")
('ZsA8J49XHGd6nrNhbYMejw', 'Toroli')
('O_EC0gFko7gzNqgppmyLEA', "Rocky's")
('lPwGQCuESSGQ0hKQAbRWLA', '9Baci')
('QsgKW_4451yc7ngUoC48bg', 'Vinizza')
('1Tak6Q-IlkDrdmLwrEZeSg', 'Off the Strip Just Real Food')
('LBwFjTUlDeikknOoQTXxhg', "McDonald's")
('IXUoO2QcFergBHdR4wPf9g', 'Pitch')
('-WLrZPzjKfrftLWaCi1QZQ', 'Blueberry Hill Family Restaurant')
('3I7xY7DjWearTz7d4TGdbw', "Nando's Mexican Cafe")
('LSPwq3J4WDHh6q3Cu0uMog', 'Régine Café')
('brAUHv7Kmxx5nclssCPldA', 'Niu-Gu Restaurant')
('HBWTzvOFFTEYWNzuGelMLQ', 'Subway')
('pe20N--YSUZlKYa-WaSfJA', 'China Buffet')
('VCqlP9aEIFe7vfgXWpZs3g', 'Cottage 2')
('W-KmScGqJ8tABuhqtAG05Q', 'XO Bisous')
('e8LyJefmrtdrFwnCufhmSw', 'Glow')
('IM2EHrvg-VfqE1f9XZMjMw', 'Golden Eggs All Day Breakfast')
('4VPjBVJKcxDpr00OMwxSww', "Ta'Carbon")
('2T66oHiIi1Ql-j5IhwbGjw', "Wimpy's Paradise")
('Cao_8SCICexsS31lbjFBVA', "Rossi's")
('R0D8l75n5-yKQNcy1kDaxw', "Jeanne's Pizza Pantry")
('P8chWEino6rrzPtIdB0XnA', 'Manchu Wok')
('qWcaGio9JsqrvgmQiIRtIQ', 'Country Style Pizza')
('dPWgvF0SjDRTd2r3hYDTWQ', 'Appetite')
('Gb0aWCdd39TmImy2ZTlwUw', "Phil's Original BBQ")
('6mhJ1K77mbiHhWkFQDF-zw', "Arby's")
('-weah7G6XZrdmE_0scCyig', "Chuy's Mesquite Broiler")
('bpHeCdmCRFAUZqXT2TMdig', 'El Sombrero Cafe')
('k3usuzYs_UVBkSgUbmthdQ', 'Athens Bar and Grill')
('j08aXohDH3rlNZH_uoZPrg', 'World Famous Pizza')
('RBRPyYuctCRZPF7bNWPyFw', 'Bamiyan Kabab')
('GKmbGnQ2WmlU7ntVPI4mYA', 'Golden Crown Chinese Restaurant')
('tJxyNVfjDjZuVpmM_Uv1bg', 'Boston Pizza')
('8B6CKoYVvf-CypT6tuV7tw', 'Taste Of Mediterranean')
('xVP6vpI-LGJ4Y61gIb4LQA', 'China Rainbow')
('cqJBTRVx614nqlLEkzL7Uw', 'Taco Bell')
('NvwVh11NMH8I7Me5xga3Pw', "Papa Murphy's")
('hJlmnnGZOMBlpsKdYoEvIg', "John's Breakfast & Lunch")
('I6qFvR-jVDGqDD_iVG38ng', 'Jenni Pho Grill')
('XCRTEQ5-4hBXd060Q2eKHQ', 'Tai Pan')
('M10n-ivjDkkdLaxIYNafFQ', 'Queen City Q')
('6E6-PZpjz98jlbOs_a3Jtg', 'Riverside Public House')
('I_P0bAu8pqUqwzXPwREq2A', 'Hapa Izakaya')
('Qe6IaJtA6VdBQE4PqOhSvw', 'Kentucky Fried Chicken & Taco Bell')
('lKYJ5TXFwvcfP_Gp73ZWzg', 'Bistro Nolah')
('i5Y5KynFw1r_JkwHSxluIg', 'Signature Palace Restaurant')
('S5o2kplwZtc9XWdktq_GcQ', 'The Cheesecake Factory')
('nhxi6qbYQQ32zu5xcr2bvA', 'Pho Friendly 18')
('aCA3j7cYs8JZFF0ExSfqEg', 'Lambretta Pizzeria East')
('0ETtpZSd6f7q_-o-7gutPg', "Bradbury's")
('ZQHEJBIl8Gnvq9UGmmUG7A', 'Waterbury')
('I6u-OhmI_IUltexEOSCKzg', 'Anime Ramen & Teriyaki')
('sO3OYD81_lG3PsxkYI62sw', 'Wing Shop 366 and K O Burgers')
('OFaMjL9nLF-A51KHNW8nfg', 'Crave Cantina')
('zmQyE-gIUpwBCMmTFFRbJw', 'Pizzéria Roméo')
('MALMIau2ZTVhW5AikFVl3w', "Barro's Pizza")
('2gUbgbdJ7IFSbicBXlSchw', "L'Express")
('jzK6cm6mSG8wjJWbAqwVbw', 'American Heroes and Dogs')
('Khs3iUmkHce7xpAyOo5kRg', "Ray's Pizza")
('G6EkDTXZ6zMUovg7JTG4YQ', 'Vietnam Noodle Star')
('Cg3sK4ptre1uPPCzPWH1aw', "East Side Mario's")
('C4wH-dL3h5nSJ7W0OIq42Q', 'Tutti Frutti Déjeuners')
('StSjdqBbR8cybOGfB8QF1A', 'Safari Bar & Grill')
('VWdo62ng_g2-m_Xz2U4QEg', "Lick's Burger & Ice Cream Shops")
('C04pA51n5jPS6KJJHWyuYA', "Willy's Chinese Restauraunt")
('a6SqJZTFMpSOR6Qb0STyFA', 'Arrivederci')
('wYHSMUo2u125Pdv1h7F9VA', 'Nespresso Toronto Boutique')
('5iFHDkcYp2PRllPzq1Qe_g', "JD's")
('zKC3gRFQ8eRU8oRXENAEaA', 'Rub Bbq')
('b0M6rZu3hgCSYs_v6SvP6w', 'Cafe Derbi')
('s2CMSuSwQNXirGViihGsTw', 'Bar Pamplemousse')
('_nUQ_iT_JEdkMN7c-wqkBQ', 'Kokoro Sushi')
('5jF4BHM3eEkOFG4fcEhX4Q', 'Centro Coffee & Juice Bar')
('-i_SmxvRpzybd9PG6qFMbg', "Hardee's")
('UKRuyeUCT4Z10AvTlB9MkQ', "Wendy's")
