9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('fwYtVfx-RbpZkph9BxOVFA', 'Toby Keiths I Love This Bar & Grill')
('T2JwvV8hH15KbnS1OCnrJg', 'Thai Elephant Restaurant')
('oHrhz4_OBHIr5uPzER8DVA', 'Copperleaf')
('w5ecDANc8JSPntIWtJBdwg', "Putter's Bar & Grill")
('cG6X1idjECJFYUJCAxKgUg', 'NAB Nail Bar')
('Q_Gjsbu6hsCWTY9nay4Wrg', 'The Redneck Kitchen')
('3ohJ9WQLb5Cbb_j1zdJ-xg', 'Fabarnak Community Cafe and Catering')
('5exz18duMXvg91ZPdNX3eA', 'Blue Ribbon Fried Chicken - Grand Bazaar')
('Oj6W90G1ZVay9cRl6_uKXg', "Applebee's Grill + Bar")
('wjOGOfcZTk_fuZLjbMCmiA', 'Caribbean Lyme')
('-KYq3eqNvYJ-XHztPpXjvw', 'The Downstairs Bar')
('JyeF41i3hQ2LE5Sc9jT7nQ', 'Smokin Hot BBQ')
('INs0jjQdgfRG83M5FfaYIw', 'Love Chix')
('xhKsKC1ngojo8-J43UZmDA', 'Barcelona Tavern')
('uV2HVSRXJMqGsF9Br2VnvQ', 'Constellation Coffee')
('52vem4FA8JHssQewXTgb-w', 'Rotisseries Scores')
('xjLHDjeAWlqK_f5y9yPXsQ', 'Hot Rocks Creative Diner')
('w_opY0Qe7eZXNgf5U4w5aQ', 'Sunterra Market, Britannia Plaza')
('IMLC177opWHCmgdUIYYjaw', 'Top Shelf Bar & Grill')
('xu459t5SvTuXwxzqp3fiqg', 'Taste of T & T')
('ElqiECV-w1e0YHSI5YC7bg', '52nd Street Tap & Grill')
('BYtGiZr3dbxa2qAhg_3I4w', 'Elixir - A Local Lounge')
('oNn16x2Ubv60RAibmJ2uSA', 'Lola Rosa')
('zeJh7AoPgwtNNQSfl4eneQ', 'Granite Bistro')
('1a9LZNq6qtfzIr24ERDhzw', 'World of Beer')
('xJql-cjAUYdEtxdg_EGeNg', 'DFC Farms')
('XDRWtl3p4EfCxAMNYEOqeg', "Raising Cane's")
('nz8uRlnveku1C3t-Lripkw', 'E-String pizzeria & poker bar')
('SB1uPuZGKOWtoCKFFP2ODg', "Churchill's Pub & Grill")
('6UhCuObwzhEYOmj75T7Nzg', 'carniceria castillo')
('y7Js-07RF8d3N_AEtaw2VQ', 'Heart Attack Grill')
('zrTGcb83AsfyVTMrsCa65A', 'Alice Cooperstown')
('9AN-JTN0wijdlPCOXMN1mQ', 'The Hexagon Board Game Cafe')
('7bQU0QI_YID3MgZirZHmSg', "Jekyll's Kitchen")
('V35TCgNoosIBZG3HRFQvKA', 'Royal Caribbean Cafe')
('PezBzE1cRaPcm4rq6n50KA', 'Circle K')
('muD5-YKII_qOTRpbRWuOHA', "Pt's Pub")
('pLFvCV9SsI8ZbWM_4tVtMg', 'Tasty Island Jamaican Restaurant')
('DEr6oxw1bWb6vCCr9DSl1g', "Dierks Bentley's Whiskey Row")
('8Sk2-Ys0Dlz8KEa1Y4zqOA', 'William J. Walter')
('IqXDpeNbePsW1jR7SSO57w', "Mary Yoder's Amish Kitchen Bakery & Gifts")
('tcclqqE4T8XbgS-02vsl6A', 'Las Vegas Mela - Indian Food and Cultural Festival')
('k0sfr75fgFpwwf_BBdnm9w', 'India House')
('IrkBeajv3BQFYwJC9i0e1g', "Wallace's Whiskey Room + Kitchen")
('Kvp0Sqipj_1enNbL_6a0Rg', 'Bare Oaks Family Naturist Park')
('wOk2b8zUHWylJOd6FtNsRw', "Sylvia's Modern Mexican Restaurant")
('VZQ7R-LYP8Ja9k_-ODnJpw', 'Z India')
('igo--IP_NBWIO_yGtBJ0Eg', 'Ogadang')
('KpJ651uRlKORbZCvs6x6qQ', 'Nikki Beach')
('MdQ9jsHHh1szdYKb7W1sEg', 'Canam Realty Group')
('LxUwq962XFJsG4uU0vN67w', 'Plato - City Pub Restaurant')
('JuhbUwZRKoDsc1zACJGxxQ', 'Ange Ricky')
('FC5eUQMtoDbtGfehz5uqXA', "Fountini's Bar & Grill")
('wrG6E3kvZ0_TiK-gAqVqeg', 'Fresh BBQ Innovations')
('O3BVb5A0djGMi8jAfr0-Lg', 'S Aiken Bar & Grille')
('MYnD-mEnOXNqrfIT2GeZqA', "Mortimer's Cafe and Pub")
('Ho90V3P89bUtKpr93y-15g', 'Go Vegan Cafe')
('tORH_LDga3t1bbuluhuxiQ', "Smoky's Club")
('gv8hshEMasuoJoFGdmk3jg', 'La Poblanita Market and Grill')
('gZn3niZkSVzmovEd521e_g', 'Les Delices de Chine')
('XUcJiJx4x1RBtE31XrNexw', 'Market')
('rHp5uQGjMKDzJBfUR6IkMA', 'Swinging Door Bar & Grill')
('V1MTfnI-1T7lqZO-Y_qXAg', 'QDOBA Mexican Eats')
('dfgvS2WwXFBBKJqhOLlTHg', "Mancuso's Northern Italian Continental Cuisine")
('EvsbXberGLbwGGVWb-n2-w', 'Nitty Gritty Middleton')
('tMrkIjj4fSN91d25Ru-SVQ', 'Living Well')
('CFlwe-9dX-1nLsR3rF_YSw', 'Ironwood Stage & Grill')
('vIXMs0oxxY0-XLP2Osmzhw', 'Mon Village Restaurant')
('IHNSikGzuGgI42DghQtL9Q', "Millie's Cafe")
('CLNqviorDO-pQvxTTy3kbA', 'Green Room')
('QqpzPFFHeHqyWSPZI-DkvQ', 'The Hangar')
('D9-qMqHKSxEqA4egWX57Mg', 'Brothers Bar Restaurant')
('4UMRWVLNa6GrAag8Rug0lA', 'Oakhill Deli & Grill')
('6ueacQ4py4qK5Gp9BFGvnw', 'Mr Tasty Fries')
('MbPObYMEOk4-IaTG0kOBjw', "Salsarita's Fresh Mexican Grill")
('LpwmR1unntc_8KdVfwNH9g', 'Bulldog Coffee')
('YJ8Ehqq4Jr2_xmtRe5aXLQ', 'Mirsung')
('dh1S06LtJqMRRpGcePn5Cg', "Zach's Place")
('gczGHQG2cNIRzQpc9YCl6Q', 'The Crafty Jackalope')
('l6Z6dyrukyKzwemZ9tqmxg', 'KFC')
('CRsoJzeAwX1NxibiYvF1ag', 'Pizza and Beyond')
('vrYVTEjJO-aSRcnQHXmmkw', "Terry's Kitchen")
('8PBq-MHyLDrhkaTf72Foww', 'Dos Gringos')
('Oy7IBK9CcfnBrP5EZaOEiQ', "Joel's Fireplace Repair & Renewal")
('urSuLlkYXXI5uwtKIxl9ew', 'Joe Maxx Coffee')
('e--8ev5DbM_5cbveVTWAEg', 'Max Cooking Mediterranean Experience')
('0tnZj3GkhKxPd9hT3HXt5A', 'Huntridge Pharmacy')
('PUNSBV03IQDNSOmsCsGPOQ', 'The Mutt')
('fWYHQRQq53Pr2aHNyde5HQ', "Delly's Jerk Shack")
('TUVtxnT471P1UibiNNnVSg', "El Gringo's Pinata Nueva")
('yxmpQfqKDeLnSJj9dpxZ6A', 'Caledonia Bakery & Pastry')
('Kdr5SklsZ2otCjdJJfJ7wQ', 'Sidra Market')
('q5MtvIuYlyndGb6e3em1xw', 'Bob Evans')
('hiFa3avDSwpdpKbQKRAYgw', 'Atlantic Trap & Gill Pub')
('x_vwXtdmsW6CJOjj65VGow', 'Kalypso Hut')
('fB-v-caPf0o3eUkp_2ua2Q', 'Sakana-Ya')
('Bj2g9Kgij_yOn5HQRt0BnQ', 'Liberty Village Market & Cafe')
('dc2jT85aZGNguurhIwJDbA', 'The Bar with No Name')
('d5TMOfz_CrjKDGbIpfoVCA', 'The DC Pasta Co')
('vb-x0VS3JsMrFyrp5R9AgA', 'Islander Bar & Grille')
('Kv133x5f5yDVWhw2xO7VSA', 'Grapes Wine Bar')
('7xn6RDKmCanq2C8Fn-FNgg', "Chilly Jilly'z")
('coGEHGuUtnABP7KHgGlmRg', "Elvira's Belizean Cafe")
('ShTOiW3Qjm5mNBIYhXF1vg', 'Top Gun Diner')
('Lyn5sYu1rfxdmntbaOoZJg', 'Rivers Casino')
('0zocLGR1Gfavfeb3fBL1qA', 'Towers Bar')
('qNSZpcyoF7OM6g49sAFUcQ', 'Social')
('kkmnzRWOq9mJVpQQzgv-9w', "Habanero's")
('aGMU3qMFOQzG0DT2akMfng', '2nd and High Poke House + Bar')
('5U4u8I0nSbHrL5eagLvktA', 'Phoenix Pizza Festival')
('GHwn0lza-JdaETNbOw98oA', 'Barbary Coast Hotel & Casino')
('dUqWP5lD4ubaNahijWJ_YQ', 'Cips Sports Bar')
('VoHTd4QkPGWXl6IGI72isQ', 'Guru Palace')
('UdEmYOnk2iJDY9lpEPAlJQ', "Floridino's Pizza & Pasta")
('Lh-JAmxrTPmFoeBkRNXrZA', "Nick's Sports Corner")
('irYAkavSVtIEyGOsHK-yPw', 'Palette')
('np7o84zr3q0ePEAn7TiB_g', 'Africana Eatery & Cheers Pub')
('gAt8Vbrf4FiLqLIhkA4bZg', 'Torito')
('eJzstt2qNzJKElcskiB4KA', 'El Tenedor')
('M86I5TeVmk8pO6yfH60J6w', 'The Village Butcher')
('GiO7AQR2DvPip1YALZQJDA', "Fionn MacCool's Irish Pub")
('jgF_3B_pLn5BsBnudwWslQ', 'The Blue House')
('DEF77d-_S0UT2OI-njM5fQ', 'Bear & Bottle')
('mpDcuUs6dB5uBsYVKDWCNQ', "Druxy's Famous Deli")
('JuMtRdolJCRXZDvA-1Thwg', 'RiteWay Catering & Food Truck')
('DAlt5SHDisz8rXuPqa3BJQ', 'Nutbar')
('8PZGCtgG5MZKvz9i3B9gCA', 'Eastern Twist')
('LDZXLfZWpn-_3cMHmGTnyQ', 'Vegebitez')
('0FyqRzszTz9EtcY-gGpYLw', '786 Halal Restaurant')
('Z1E36owKeeZKDL-9ZuanJw', "TC's Rib Crib")
('aNoJLiE3RGalv0WZU3jpZA', 'Poke Bar')
('akPPfcsTD6JmIEMEC8ByYQ', 'Viva Fernando')
('MohKYQNpUVYFAeTkOwvUrg', 'My Fit Foods')
('3nWXxSCR6q7SVxHvsUUeWg', 'Flavor Bomb LV')
('E9IPxXY6pS2gTW2FBkAJmg', 'The Duce')
('0Tutx9JhCi_HE6MUnbh5vw', 'Sexy Lexy Kitchen')
('Ko-GLxKpNikHBABYhEtUjg', 'Topham Corner')
('RnFuYxZSZzuAJSSEBFj7Mw', 'KFC')
('jaDTCxAGbK3N9XmO5gvhig', 'The Corner Deli')
('8ou6p7T-3KaNOhDeln3Ccg', 'Fresco Mexican Grill & Salsa Bar')
('CxZ_qwVlgd-DIrb_a3N8jw', 'Shish Kabob House')
('OsGqPM3vMryBxZqnhoSr9Q', "Mavis Winkle's Irish Pub")
('-dFfucHmOtgDmDneps-mgA', 'Mallorca')
('sr2500NlogeAa52rH0vrcw', 'Wildfire Sunset')
('9Cq_NVvWZOEAzmE7tqJgmg', 'Short Leash Hot Dogs Food Truck')
('ljkZuPphAFpuwNF1o9-FGw', 'Foggy Dew Irish Pub')
('ry9MaSq_tpNODhYoIyA42Q', 'Market St Grocery')
('_1HlqT_fTbwGbKwd-ruzPg', 'The Poachers Barn Scarborough')
('9edPSkfXKsJmkZYIaOmA7Q', 'Las Vegas South Premium Outlets')
('Vf6FvJTd03jiqlR0dj1MfQ', 'Resto Lounge L')
('tlRJEER67t56LCPiGi1T-g', "Sarah's Cafe & Bar")
('ABiwctEu-OZ8YsVc5lnLZQ', 'Champions Club')
('1fskdDGn3qrSgZy7ggjOrA', 'La Cage')
('fnX5U5FsCqRsL6Aw5M5RCg', 'Pinq Taco')
('RaV3iNkcOnMq3PTEvA-LnQ', "Pelican's Patio Bar & Grill")
('AqWBhU6SM7n6iY_q6o46Tw', 'Street Feast Grill')
('mOfmGrhxbzhiAcM-drXCRg', 'Marcelo Delivers')
('tUsqTg8FWA37DeyaGcBMbg', 'Fieldstone')
('I6iOdOeu3MxxuG6gIhzodQ', "Metcalfe's Market")
('hBq4_EWvoJJilE7rJgJkHQ', 'Powered Up Nutrition')
('ZMv12PhGM7jQFDCFEjP7WA', 'Vienna Market')
('88vF_9_X9dJwZ7w-hwtMow', 'Lucky Streak at LAS')
('VTJIw7e4s5MSkg4OdNer6w', 'Miko Poke')
('FdU-T-vgsQtkzivylI9_gw', 'Island Flavors Cafe')
('sxQrSzv4SS4b6o3tgmWS7A', "Chuck E Cheese's")
('yPcAdikNrXEsfbHNBQUjkQ', 'The Zenith')
('p5zGRe5qEQ3Dh5XkyzTXPg', 'Sundays Plus Delicatessen')
('wgXwKEK9MeJruxx7-w178Q', 'RollHouse Parma')
('d3FWuqernrvETWjkMaEs4g', 'Rosetta')
('xk2fZepwr3cWu6OVYJowtg', "Fletcher's Sports Grill")
('lK-wuiq8b1TuU7bfbQZgsg', 'Hingetown')
('R_4y2Cearf2XpfMoiisxcA', "Archie Boy's BBQ")
('-RH2umpYCGdKr8NYeomfvg', "Mikey's Juke Joint & Eatery")
('YZeUH6zYS0dq5QHLYZhUnQ', 'Hooters')
('pik4ebdFa0UcUhnNkivFcg', "Carmine's Italian Restaurant - Las Vegas")
('neRQBX8rlURRWCt66r_oGg', 'Le Café Crème')
('kJ5TaNGrjALIE701O29jlw', 'King Pin Lounge')
('BnDqHWovCd6Xwp3KzoL0hg', 'Holy Trinity "Taste of Greece" Greek Festival')
('5vCb4-q_I0xAEkcqpSh-_A', 'Hula')
('7bSE9GOvftLyvwvyz9XJoA', "Applebee's Grill + Bar")
('CBMcVQlLdD5I5Vd-3PRFGw', 'Midtown Gastro Hub')
('zlBbV0XwfmRVSogHVDDmEw', "Manos's W3rd/St.Clair Hotdog Cart")
('OOXUDZVOREgjwrLiwr3Spg', 'The Corner Alley at Uptown')
('Lo_kU1f3Jd1qCQNrUVeo_w', 'Crêpes De Luxe')
('vugrV0cSoUGfS1Ef_mF7nQ', 'Outpost Saloon')
('FR2hqDQMmky75sl-g2sPKQ', "Schlotzsky's")
('JOifu0s-egcBhIO1tElK1A', 'Methode Bistro')
('Ehln9m65hoi5ylWCH2osdQ', 'Tich Modern Indian Cuisine')
('OoI3WUe4Xl86d53avy3oVA', 'Pig in a Fur Coat')
('e7N0AW-sKkJmRIpEovxBAg', 'Aces & Ales')
('El4FC8jcawUVgw_0EIcbaQ', 'MGM Grand Hotel')
('Gj8ANgQ6FcWdhrpEwUsxqQ', 'El Taino')
('Q1hNkPjwuA0zPde5EnFxzw', 'World Famous Iron Horse Saloon')
('hoiMOXY9hF3KKxVpF5dRsA', 'Zipps Sports Grill')
('ZZ8sAXHb0gX-c81Ea1M3OQ', 'Bob Evans')
('iqxB3ZreU5GjaVLFhxTdBQ', "Herb's Tavern")
('PFLnr1C9K9FHQc-GOvtnHQ', 'Village Juicery')
('tMYYSWyTppDcF070Hmy-kQ', 'Blue Ribbon Fried Chicken - Downtown Summerlin')
('p9aNuvYCBS6ieqAQyufD0Q', 'Sabroso Mexican Delights')
('UBXijtZP9UcPGQ9b2gFsMw', 'Red Hot Tandoori')
('WAdoI6suqJirFHFvv-zZyA', 'Le MIlieu')
('oBW7pGHtp_sDMa7cMKJl0g', 'Noor Makkah')
('1YqkSk2xorNWPOoieIMApQ', 'Great Harvest Bread - Champaign')
('QOE93SXgKd8EsaUT-DaXhA', 'Snow Ono Shave Ice')
('HEf18-z7MyGPlb_ezY9_4w', 'My Boricua Kitchen')
('SI8ycgT9o2ogs6AFLg1b3w', 'Cannon Deli')
('hV-zGKGReMAi8GucYa4NHg', "Domino's Pizza")
('VgGO13Fx7dQj4zg3IuVDLw', 'Blue Moon Bar & Grill')
('QQLVFIx7vevEe0luzqPZQg', 'Damons Grill')
('3SLDrXzPmKF0iCY8WriLsA', 'Chronic Tacos')
('OY1kLAhs9I6Ix4wUmSNAfQ', 'Morgane Bistro & Pub')
('dD6JQo5tCNtOtauaLaT0sg', "Oggi's Sports Brewhouse Pizza")
('F8M0IukXQqR50IRyocRQbg', "Heidi's Brooklyn Deli")
('R-GbmmHHfAyPo1qs4jo0TA', 'Il Tetto:  A Rooftop Beer Garden')
('dvAsAh1IiZWquuL6GN4OBA', 'Fashion Liquidation Outlet')
('9HvMGpZL20cs8YuNfdYBmw', "Rubio's")
('_EU8Viz7ng9cXNdIjxwNRQ', "Shoeless Joe's Sports Grill - Eglinton & Laird")
('Y1Yprra4ZSyAIMW9Zm75dA', 'Méchant Bœuf Bar & Brasserie')
('qpWi9P3DEG-aIwT74Gh8Dg', 'Urban Margarita')
('nBeTRDLiKXfkerMH59lPqg', 'Nile Seafood Market and Restaurant')
('FcvWRrwhjIqktji6iLpaUA', 'Coach & Willies')
('OlBFLXVJfze2ZZA4UUBS0g', "Tropical Joe's")
('6nvaj9BI3i2kBmN1IkwyTw', 'Wing Phat')
('go7g1fwoeg4a8JATkGzW0w', 'Cogburns')
('uSsTuB82xu2kgSUeNNKQcg', 'The Roti Hut')
('tBQOZv_wWXsdzWql09A74Q', 'KFC')
('1RECFIhw6tdiP4l3smu6Kw', 'The Yard')
('IeH7I-29vKD5w9v9pX5KYw', 'Sahara Restaurant')
('aRRV_ZbRiD65SIi7vAY-iA', 'Zest of India')
('ApHiz1xxENwjkp8MKrE4Dg', 'Crust')
('sCbZOE7EQW5MOJHb5DP5hQ', 'Terra Cotta Inn')
('UzsXZoePcmt6RWo00qNNAw', 'Carolina Ale House')
('5PpFojIpkGV4JoUP7XJ_Zw', "Chuck E. Cheese's")
('c_GeUPI0qjilmWp8QNK-oQ', 'Dean & DeLuca - Tryon Cafe')
('LAiBt7LobYM_0_EQrSvK4A', 'Renaissance Phoenix Downtown Hotel')
('Vb4aceiQjd1SVmEBFvrIXA', 'Marcy Fine Foods')
('U8rHQ_Sg8A2m291Y7WEfIg', "Devil's Advocate")
('_7EsArRtaywrPasvA8ryfg', 'Ghirardelli Ice Cream and Chocolate Shop')
('yIWXPPGbePgPup6gz6ttNA', 'Claddagh Irish Pub')
('IgynlIDUfcsjXz0DJ-YGRA', 'Club Soya')
('52Mxyz0pkITP8knyRkhbRA', 'Eat Lunch')
('aK2nwA5u7-WXbCoh2zH1bQ', 'IHOP')
('WzLXKlHrfN2Ml2fKPjyoRA', 'B.B.Ques')
('M5gj8a6Qtjy06lh3L5zUqA', 'Royal Palms Resort and Spa, in the Unbound Collection by Hyatt')
('yeB98yCeqpZggwc-wmgg7g', 'Po Chicken')
('T_ogWFxPzlUsrqER_Na2mQ', 'Hilton Garden Inn - Pittsburgh Airport')
('zeylnA3JNnFqagxEnE18-w', 'Sushi Bonsaï')
('I0bNg8QI08Lm6mXi3QxKcw', 'Treichels Bar N Grille')
('bXFWLSQptjB5SUMyZxprfg', 'India Gate')
('Dx4R3jlNBZly6VLTTYjLMQ', 'Ginger Monkey Tavern')
('xFxlyQPT27xc2dsqyzQKUg', 'La Movida')
('jKNdXLQtVM7FJIi_tmuszQ', "Lolita's Lounge")
('BOoEeUitM6gn9t_t8TY3Aw', 'Breakroom Bar & Grill')
('YV_QBxAa_uPm0X3Z_jbHAA', 'Double Overtime Sports Grille')
('Ag1S9ttGzV0oikz80pRPbA', 'Poké Catcher')
('ClLRnbf39ghdMM08cVnUNA', 'BullPen Bar n Grill')
('w2kUURKtymnYVvdwwyNe2w', 'Upscale Restaurant & Lounge')
('MiKZH5kMszrf1whad2jyqg', 'Sabroso Restaurant')
('3uW3cZgSlK77ydvrsB3zrA', 'Ali Baba Cafe and Restaurant')
('h_hg33vb0OsWsE6T1SHAgw', "Church's Chicken")
('-BxWyEIQ6wypT-37MzZizQ', "Carly's Bistro")
('-TBxFMtA4WupelY8CrDOqA', "McHale's")
('hVLFDDA31wYm3Jjz3w74GA', "Duckworth's Grill & Taphouse Ballantyne")
('jvSgUe3g6LrNQGucBLBvCw', 'La Poblanita')
('1zOOzjf51hN_xgkxhaS4QA', 'Cinéma Cineplex')
('EDA8Xe7olLtFPHZMVTfNrg', "Madalyn's Coffee & Tea")
('xkF-0GL_TKkU51xWpItBTQ', 'Connections')
('ntkeyTQNc735Dr-yjGd_IQ', 'Fired Up Taco Truck')
('PVuBYiGaPtpF3VFpvjJ91g', "Jason's Deli")
('r7kS_KZjAemVVFnTOZ6hLw', 'Le Balthazar Centropolis')
('GzYAIjVULpRrFV2dQMKDog', 'Pasto di Forno')
('yKPFDjretpatajGn4O7FsQ', 'Mcdowell Market & Grill')
('sPSLpmk4zz9Bgb7jU_DMLg', 'Food From Mars')
('o2zNALB8VLGhsq-fjC5qsQ', 'Sabor Latin Street Grill - SouthPark')
('ICUCAzUZFiWkYs7iCtNCQg', 'Copper')
('gc5bZeAOoSvlK-gcJJHahA', 'Bad Water Brewing')
('CwfeDdtVKcUEg_thGOlWAg', 'The Urban Tap')
('jY40NI_cGJp1OId4O9TWJw', "Antar's Sports Bistro")
('fT4dLA7SSqwX_FmXqW5oRQ', 'Two Hippie Beach House')
('xMhpJZaj4QT1Soh76-E2CA', 'Feast of Dilli')
('x2kGa_XkRy00cYotdlfmag', 'China Cottage Restaurant')
('wDq5f57tb6RViBvQ9In5xQ', 'Spectators Sports and Grill')
('-FlrlELIGmCqdt_JxbdFgg', 'Panda Express')
('spvjNOYeR7sFX6yTgP21og', 'Rancho Relaxo')
('HJy5d7tnvnB2-Md2grIQzw', 'Freshii Deerfoot City')
('GY2VyNBxX5H_8kilGCAjUA', 'Elephant & Castle')
('Yyag9ZHs0hZ7UIGFC04Vqw', "Now That's Class Lounge")
('YGcpct62yl0lEGPlJrII5g', "Bojangles' Famous Chicken 'n Biscuits")
('hfSlIJ8FSLV85MzwsVE3Hw', 'Family Deli')
('HFyMS_9yLaYN7GIcXzcboA', 'Gringo Star Street Bar')
('6pKR-h3KN7AwgGOOYBbE2A', 'Tupelo Honey Teas')
('dczaqb-9F-Rx17RZVGrg5w', "Dillinger's Tap Room")
('QJfnq_F3qb3raMCZa48_3A', "Hail Mary's On Priest")
('wyMu0pbOTpZZ297fwIrEEQ', 'Restaurant Fiesta Bar And Grill')
('M0pXDKKvnM5sc7ceisBD4Q', 'Edo Garden Hibachi')
('LPdyvyMuL1YFr6wC258krQ', 'Bar on Brown')
('rbcfYmJtqwIkk17IeOI5Kw', 'BARDOT Brasserie')
('2I_qSTehoUFsDNjaqCVxlA', 'Cafe Moda')
('tpJrlhn5QPI0ehDyYjN7qg', "Szmidt's Old World Deli")
('WU0rArtd0GcTt8ndKzeKaw', 'Cobrinha Brazilian Jiu Jitsu Academy')
('1wAIVR71cLfupzNsk13Ryg', 'Brew at Juma')
('_DpnhekFOZDPNBDekWpx4A', 'Buffalo Wild Wings')
('WE7UsbkilPeI8nw9ODnD-g', 'Primanti Brothers at PNC Park')
('l8tSrCIwIyRMBHUiZ9By4A', 'Islands Restaurant')
('I1dZ6e1G4757Ll5CeE3Wdw', 'Ahipoki')
('F-bdXFkJwwENiNpMTG2ntQ', 'The 3 Brewers')
('-yJHbYGTXp-Hkl7BnHYVrw', 'Drunken Goat Bar & Grill')
('3WFMeB2eYce2E1iLZgAg2A', 'Abbirami Catering')
('Y7gp8KjfxuH7mlsSj9ewQw', 'Village Inn')
('_O2_jwNT_3FDaSRZ50jvrw', 'The Joy Bus Diner')
('2Y7voMZLcJ4YYC8_UjEuPg', 'KFC')
('Sx6u-sZlDxVMoCBvto1NYA', "Big Al's Pub & Grubberia")
('TElfyEowMFTPR1gAwMLcNQ', 'Copper Kettle')
('O4lGWwE978nAuZQc8ELvgw', "Raising Cane's Chicken Fingers")
('1CWMNSTRMejdSyXBG2chNg', 'Fireside Restaurant & Tavern')
('auG1SlB0tFoKAtP-tVcKUw', 'Ground Control At Verrado')
('bjGp5sKsrE9_tWKCw1pBtg', 'The Rooster Tavern')
('Cp-clhAJs3NJRwXpXk_saw', 'The Whining Pig-Phoenix')
('Us7Oe7hwI3J9rJ2TZs8gSw', "Bojangles' Famous Chicken 'n Biscuits")
('aO7Y_016hwt82og4Q4Alsg', 'La Chica Loca')
('QIXz6e0SZ4okLBFBsO79_Q', 'ACE Hotel Pittsburgh')
('7b7Hj8hdcObDoBcBqL4MVg', 'Rusty Spur Saloon')
('VR01T1Y7GN_swCkY9TmD9A', 'Fratangelo Gardens')
('nPB_oUbkXcgOiLYVmYrjog', "Jim 'N Nick's Bar-B-Q")
('6QpC_1BM11WWrGT07JBAMw', 'Gyro Twins')
('HCCg-rVnHQ2FI6lHs_LvUQ', 'Daily Dose')
('gxBYzaHpOh-OHlEjQlBbRA', 'KFC')
('cHAhW7XJ2no_qzc46HpohQ', 'Five Star Tavern')
('wUKzaS1MHg94RGM6z8u9mw', 'Olive & Ivy')
('YAnuTr6PyHRKCVbpg3U9Lw', 'Maison Close 1888')
('GNIxpOWJcjx5pGN9IBgrYQ', 'Tin Roof')
('jeml5D3_Ldz-qWbc-fuEpA', 'Brasseur de Montréal')
('WuPSEvu8pES752S92awAVQ', 'Buffalo Wild Wings')
('pP4MRsHfrage-sm4mXYFAQ', "Applebee's Grill + Bar")
('pEP_b5TkKsAVyJ8X6plaiA', "Shoeless Joe's Restaurant & Bar")
('p3cZh9b78VpwJK_jX-Lp1A', 'Parma Café')
('VEusQnnMJW6e8wuiW2_H0Q', "Portofino's")
('uWoctOrWMrL3w7jc8fFhgg', "Jason's Deli")
('iiFvwdGzwLPcZ0JuRj3-Qg', 'Marché Soupson')
('DR-PVZlxuunACup6GMwyFg', 'Pâtisserie Du Soleil')
('LdhprCGxa0inFo5P812EIg', 'Loft & Cellar')
('PsUi2HK5l-Qwzfwy9g3vQg', 'Chick-Fil-A')
('IrVTxR6Dk7TIh1DsrnzVTg', 'Village Pub & Poker')
('P1IWnPYl7lNF-c29nRnVIw', 'Ms MacNCheese')
('TmzUG5kgxezUsfNYu5Z5cw', 'Seafood Center')
('teo01Ceud4v4BcaJcJ_67A', 'Costco')
('2CWnWhzMBBuj-wdZ6p78Fw', 'Rusty Rudder')
('hpv2WZA4_G1qC65QQ26ZjA', "Chuck E. Cheese's")
('u-SvRRAfYgpbXZRfQgcTzA', 'Imadake')
('UM3tXZP60ybIj3Vh1GKLWQ', 'Irish Embassy Pub & Grill')
('tuikCn2ljRGN5QHZBnjoqA', 'Noodles & Company')
('LTAFAX7n8-la7NO4496yow', 'Sheraton Mesa Hotel')
('UOuitzP3wKaLOzJSPN38ZA', 'KFC')
('1VKjDpPJdVoiRc8I9f7U9g', 'Hooters')
('SFgBVh5txmYgz5qaz67mxg', 'Olmsted Falls Sunoco')
('ksuxxeP_V73Y4iKPeLq77A', 'La Salsa Cantina Mexican Fare')
('jqDkZNJDo4oHYP8zHbSBBw', 'Las Vegas Exotic Limos')
('kzqx6Z2sse8PV3hVCVEw4g', 'Bombay Spice Grill')
('Uvl6FkQv4x2KPEGot_kTzw', 'Barrio Latino')
('4B_nRR2pEPqx-F-9y6oqnw', 'Longboards Tap & Taco')
('YH11qUmwVmrMMK2nJGVo_A', 'The Canopy Mediterranean Grill')
('I1qgWmIEIpnZF-uj6F-aCw', 'Salty Senorita')
('v2gPWZrBYvD6m78fu4mnCA', "Krista's Cantina")
('C2tt_-1YE4X2T7azXEF7IQ', 'Costco Food Court')
('5O7qB4gNmr3NgdYAuYbP4Q', 'Indian Curry House')
('jXo7PMPoST2JGIYQ5nsQ5A', 'The Hillsdale')
('51K92JdkWICGDvvVCBYhFA', "Rubio's Coastal Grill")
('qWflasEfK2strQg5Ulcz4w', 'Brewskes Bar & Grille')
('YZiCwmtJT5V5LnO8NMaJFg', 'Rags Real Chicken and Waffles Catering')
('AyO6yX5l7NhYLP0f-cMy5g', 'Aurora Farms Premium Outlets')
('8Bcjq7TCz1wvkus3cIrKhQ', 'Knights Corner Pub & Grill')
('1KIt-yHFiPHlIucqOm7q2g', 'Ratatouille Bistro')
('AIMfPkVKeBqnCysGMv5XRw', 'Vegan Invasion Delivery & Catering')
('ZzJ7vi9dH-595RrBCQJZKA', 'Taverne Royal Merchant')
